iter	Passed	Remaining
355	1441	2607
356	1444	2601
357	1448	2597
358	1451	2592
359	1455	2588
360	1459	2582
361	1462	2578
362	1466	2573
363	1470	2569
364	1474	2565
365	1478	2560
366	1481	2555
367	1485	2551
368	1489	2546
369	1492	2541
370	1496	2536
371	1499	2532
372	1504	2529
373	1508	2524
374	1511	2519
375	1515	2515
376	1519	2510
377	1522	2505
378	1526	2500
379	1529	2496
380	1533	2491
381	1537	2487
382	1540	2482
383	1544	2478
384	1548	2473
385	1551	2468
386	1555	2463
387	1558	2458
388	1562	2454
389	1566	2449
390	1569	2444
391	1573	2439
392	1576	2434
393	1579	2429
394	1583	2425
395	1587	2421
396	1591	2416
397	1594	2412
398	1598	2407
399	1601	2402
400	1605	2398
401	1609	2393
402	1613	2390
403	1617	2386
404	1620	2381
405	1624	2376
406	1628	2372
407	1631	2367
408	1635	2362
409	1638	2358
410	1642	2353
411	1646	2349
412	1649	2344
413	1653	2339
414	1656	2334
415	1659	2329
416	1663	2325
417	1666	2320
418	1670	2315
419	1673	2310
420	1677	2306
421	1680	2301
422	1684	2297
423	1687	2292
424	1691	2288
425	1694	2283
426	1698	2279
427	1702	2274
428	1705	2270
429	1708	2265
430	1713	2261
431	1716	2257
432	1720	2252
433	1723	2247
434	1727	2243
435	1731	2239
436	1734	2234
437	1738	2230
438	1741	2225
439	1745	2221
440	1749	2217
441	1753	2213
442	1757	2209
443	1760	2205
444	1764	2200
445	1767	2196
446	1771	2191
447	1775	2187
448	1783	2188
449	1787	2184
450	1791	2180
451	1794	2175
452	1797	2171
453	1802	2167
454	1805	2162
455	1808	2157
456	1812	2153
457	1815	2148
458	1819	2144
459	1822	2139
460	1826	2135
461	1830	2131
462	1833	2126
463	1837	2122
464	1841	2118
465	1844	2113
466	1848	2109
467	1851	2104
468	1854	2100
469	1858	2095
470	1862	2091
471	1865	2087
472	1869	2083
473	1872	2078
474	1876	2073
475	1879	2069
476	1883	2065
477	1886	2060
478	1890	2056
479	1893	2051
480	1897	2047
481	1901	2043
482	1904	2038
483	1908	2034
484	1911	2030
485	1915	2025
486	1919	2021
487	1922	2017
488	1926	2013
489	1930	2008
490	1933	2004
491	1937	2000
492	1941	1996
493	1944	1991
494	1948	1987
495	1952	1983
496	1956	1979
497	1959	1975
498	1963	1971
499	1967	1967
500	1971	1963
501	1974	1958
502	1977	1954
503	1981	1949
504	1985	1945
505	1988	1941
506	1992	1937
507	1995	1932
508	1999	1928
509	2002	1924
510	2006	1920
511	2010	1915
512	2013	1911
513	2016	1907
514	2020	1902
515	2023	1898
516	2027	1894
517	2030	1889
518	2034	1885
519	2038	1881
520	2041	1877
521	2045	1873
522	2049	1868
523	2052	1864
524	2056	1860
525	2060	1856
526	2063	1852
527	2067	1847
528	2070	1843
529	2074	1839
530	2078	1835
531	2082	1831
532	2085	1827
533	2088	1822
534	2092	1819
535	2096	1815
536	2100	1810
537	2103	1806
538	2107	1802
539	2111	1798
540	2114	1794
541	2118	1790
542	2122	1786
543	2125	1782
544	2129	1777
545	2133	1773
546	2136	1769
547	2139	1765
548	2143	1760
549	2146	1756
550	2150	1752
551	2153	1747
552	2157	1744
553	2161	1739
554	2164	1735
555	2167	1731
556	2171	1727
557	2175	1723
558	2179	1719
559	2182	1715
560	2186	1710
561	2189	1706
562	2193	1702
563	2196	1698
564	2200	1694
565	2204	1690
566	2207	1685
567	2211	1681
568	2214	1677
569	2218	1673
570	2222	1669
571	2226	1665
572	2229	1661
573	2233	1657
574	2237	1653
575	2240	1649
576	2244	1645
577	2247	1640
578	2250	1636
579	2254	1632
580	2258	1628
581	2261	1624
582	2266	1620
583	2269	1616
584	2272	1612
585	2276	1608
586	2279	1604
587	2283	1599
588	2287	1595
589	2290	1592
590	2294	1587
591	2297	1583
592	2301	1579
593	2305	1575
594	2309	1571
595	2312	1567
596	2316	1563
597	2319	1559
598	2323	1555
599	2326	1551
600	2330	1547
601	2333	1543
602	2337	1538
603	2340	1534
604	2344	1530
605	2348	1526
606	2351	1522
607	2356	1519
608	2359	1514
609	2363	1510
610	2367	1507
611	2370	1502
612	2374	1498
613	2377	1494
614	2381	1490
615	2385	1486
616	2388	1482
617	2392	1479
618	2396	1475
619	2401	1471
620	2404	1467
621	2409	1464
622	2413	1460
623	2417	1456
624	2420	1452
625	2424	1448
626	2428	1444
627	2432	1441
628	2436	1437
629	2440	1433
630	2443	1429
631	2448	1425
632	2451	1421
633	2455	1417
634	2459	1413
635	2462	1409
636	2466	1405
637	2469	1401
638	2474	1397
639	2477	1393
640	2482	1390
641	2486	1386
642	2489	1382
643	2493	1378
644	2497	1374
645	2500	1370
646	2504	1366
647	2508	1362
648	2512	1358
649	2516	1354
650	2519	1350
651	2523	1346
652	2527	1342
653	2531	1339
654	2534	1335
655	2538	1331
656	2542	1327
657	2546	1323
658	2550	1319
659	2553	1315
660	2557	1311
661	2561	1307
662	2565	1303
663	2568	1299
664	2571	1295
665	2575	1291
666	2578	1287
667	2582	1283
668	2586	1279
669	2589	1275
670	2593	1271
671	2597	1267
672	2600	1263
673	2604	1259
674	2607	1255
675	2610	1251
676	2614	1247
677	2617	1243
678	2621	1239
679	2625	1235
680	2629	1231
681	2632	1227
682	2636	1223
683	2640	1219
684	2644	1216
685	2648	1212
686	2651	1208
687	2655	1204
688	2658	1200
689	2662	1196
690	2666	1192
691	2669	1188
692	2673	1184
693	2677	1180
694	2681	1176
695	2684	1172
696	2688	1168
697	2691	1164
698	2695	1160
699	2699	1156
700	2702	1152
701	2705	1148
702	2709	1144
703	2712	1140
704	2716	1136
705	2719	1132
706	2723	1128
707	2726	1124
708	2730	1120
709	2734	1116
710	2737	1112
711	2741	1108
712	2744	1104
713	2748	1100
714	2751	1096
715	2755	1093
716	2760	1089
717	2763	1085
718	2767	1081
719	2771	1077
720	2774	1073
721	2778	1070
722	2782	1065
723	2785	1061
724	2789	1057
725	2793	1054
726	2796	1050
727	2800	1046
728	2803	1042
729	2807	1038
730	2810	1034
731	2814	1030
732	2817	1026
733	2822	1022
734	2825	1018
735	2829	1014
736	2833	1011
737	2836	1007
738	2840	1003
739	2844	999
740	2847	995
741	2851	991
742	2854	987
743	2858	983
744	2862	979
745	2866	975
746	2869	972
747	2874	968
748	2878	964
749	2882	960
750	2885	956
751	2890	953
752	2894	949
753	2898	945
754	2901	941
755	2905	937
756	2909	933
757	2913	930
758	2916	926
759	2920	922
760	2924	918
761	2927	914
762	2931	910
763	2935	906
764	2939	902
765	2942	899
766	2946	895
767	2950	891
768	2954	887
769	2957	883
770	2963	880
771	2966	876
772	2970	872
773	2973	868
774	2977	864
775	2981	860
776	2985	856
777	2988	852
778	2991	848
779	2995	845
780	2999	841
781	3003	837
782	3006	833
783	3010	829
784	3014	825
785	3017	821
786	3021	817
787	3025	813
788	3028	810
789	3032	806
790	3035	802
791	3039	798
792	3043	794
793	3046	790
794	3050	786
795	3054	782
796	3057	778
797	3061	774
798	3064	771
799	3068	767
800	3072	763
801	3076	759
802	3079	755
803	3083	751
804	3086	747
805	3090	743
806	3094	740
807	3097	736
808	3101	732
809	3105	728
810	3108	724
811	3112	720
812	3115	716
813	3119	712
814	3123	708
815	3126	704
816	3129	701
817	3133	697
818	3136	693
819	3140	689
820	3144	685
821	3147	681
822	3151	677
823	3154	673
824	3158	669
825	3161	666
826	3165	662
827	3168	658
828	3172	654
829	3175	650
830	3179	646
831	3182	642
832	3186	638
833	3190	635
834	3194	631
835	3198	627
836	3201	623
837	3205	619
838	3209	615
839	3213	612
840	3217	608
841	3220	604
842	3224	600
843	3228	596
844	3232	592
845	3235	589
846	3239	585
847	3243	581
848	3247	577
849	3251	573
850	3255	569
851	3259	566
852	3262	562
853	3266	558
854	3270	554
855	3274	550
856	3277	546
857	3281	543
858	3285	539
859	3289	535
860	3293	531
861	3297	527
862	3301	524
863	3304	520
864	3308	516
865	3311	512
866	3315	508
867	3319	504
868	3323	501
869	3327	497
870	3331	493
871	3335	489
872	3339	485
873	3342	481
874	3346	478
875	3349	474
876	3353	470
877	3357	466
878	3360	462
879	3364	458
880	3368	454
881	3371	451
882	3374	447
883	3378	443
884	3381	439
885	3385	435
886	3388	431
887	3392	427
888	3395	424
889	3399	420
890	3402	416
891	3407	412
892	3410	408
893	3414	404
894	3418	401
895	3422	397
896	3426	393
897	3429	389
898	3433	385
899	3437	381
900	3440	378
901	3444	374
902	3448	370
903	3452	366
904	3455	362
905	3459	358
906	3463	355
907	3467	351
908	3470	347
909	3474	343
910	3478	339
911	3481	335
912	3485	332
913	3489	328
914	3493	324
915	3497	320
916	3501	316
917	3505	313
918	3509	309
919	3512	305
920	3516	301
921	3520	297
922	3524	294
923	3528	290
924	3532	286
925	3536	282
926	3540	278
927	3543	274
928	3547	271
929	3550	267
930	3554	263
931	3558	259
932	3561	255
933	3565	251
934	3568	248
935	3572	244
936	3575	240
937	3579	236
938	3582	232
939	3586	228
940	3591	225
941	3595	221
942	3598	217
943	3602	213
944	3611	210
945	3620	206
946	3628	203
947	3633	199
948	3639	195
949	3645	191
950	3651	188
951	3658	184
952	3663	180
953	3668	176
954	3675	173
955	3680	169
956	3687	165
957	3692	161
958	3697	158
959	3701	154
960	3706	150
961	3712	146
962	3716	142
963	3721	138
964	3725	135
965	3729	131
966	3733	127
967	3737	123
968	3741	119
969	3745	115
970	3749	111
971	3753	108
972	3756	104
973	3761	100
974	3765	96
975	3769	92
976	3773	88
977	3777	84
978	3781	81
979	3785	77
980	3789	73
981	3793	69
982	3797	65
983	3801	61
984	3805	57
985	3808	54
986	3812	50
987	3816	46
988	3820	42
989	3824	38
990	3828	34
991	3831	30
992	3834	27
993	3838	23
994	3842	19
995	3845	15
996	3849	11
997	3852	7
998	3856	3
999	3859	0
